,coef,std err,t,P>|t|,[0.025,0.975]
Yards_per_Game_Allowed_stan,-0.2354,0.055,-4.253,0,-0.346,-0.125
Avg_Points_per_Game_Allowed_stan,-0.1827,0.036,-5.03,0,-0.255,-0.11
Off_TDs_stan,-0.07,0.029,-2.374,0.02,-0.129,-0.011
Redzone_Attempts_stan,-0.0297,0.014,-2.178,0.032,-0.057,-0.003
Avg_Sacks_per_Game_stan,0.022,0.009,2.383,0.019,0.004,0.04
Third_Down_Conversions_stan,0.027,0.009,3.146,0.002,0.01,0.044
Off_ExtraPoints_stan,0.0803,0.029,2.762,0.007,0.022,0.138
Yards_per_Attempt_Allowed_stan,0.1166,0.029,4.025,0,0.059,0.174
Opp_Pass_Attempts_stan,0.1302,0.025,5.225,0,0.081,0.18
Points_per_Game_stan,0.16,0.03,5.298,0,0.1,0.22
RushYds_per_Game_Allowed_stan,0.1888,0.038,4.903,0,0.112,0.265
Intercept,0.5158,0.007,76.331,0,0.502,0.529
